index,latitude,longitude
365,40.9379034,-74.2798052
366,40.9353229,-74.2790885
367,40.9328925,-74.2777469
368,40.930514,-74.2760812
369,40.9280891,-74.2743923
370,40.9255246,-74.27293
371,40.9227612,-74.271606
372,40.9198241,-74.2702359
373,40.9173167,-74.2689732
374,40.9159696,-74.2680371
375,40.9154579,-74.2669717
376,40.915017,-74.2650406
377,40.9140243,-74.2620323
378,40.9122723,-74.2592031
379,40.9098679,-74.2571965
380,40.9072156,-74.2555822
381,40.9047382,-74.2538644
382,40.9027525,-74.2516683
383,40.9011784,-74.2490743
384,40.8998423,-74.2462697
385,40.8985706,-74.2434418
386,40.8971898,-74.2407779
387,40.8955263,-74.2384654
388,40.8934064,-74.2366915
389,40.8907508,-74.2355464
390,40.8879068,-74.23468
391,40.885342,-74.2336178
392,40.8835243,-74.2318854
393,40.8827219,-74.2292238
394,40.8822506,-74.2264037
395,40.8812012,-74.2244384
396,40.8794482,-74.2234859
397,40.8774244,-74.2230952
398,40.8755745,-74.2228019
399,40.8743435,-74.2221419
400,40.8741757,-74.2206512
401,40.8751729,-74.2182458
402,40.8766442,-74.2157127
403,40.8784011,-74.2132592
404,40.880404,-74.2109229
405,40.8826132,-74.2087415
406,40.8849892,-74.2067524
407,40.8874922,-74.2049923
408,40.8900744,-74.2034501
409,40.8926774,-74.2020466
410,40.8952414,-74.2006976
411,40.8977071,-74.1993185
412,40.9000147,-74.1978252
413,40.9021048,-74.1961332
414,40.903918,-74.1941583
415,40.905417,-74.1918508
416,40.9066248,-74.1892546
417,40.9075744,-74.1864287
418,40.9082988,-74.1834325
419,40.9088215,-74.1803289
420,40.9088571,-74.1773109
421,40.9077544,-74.1747257
422,40.9054655,-74.1727162
423,40.9029278,-74.1710732
424,40.9004093,-74.1697242
425,40.8979094,-74.1686577
426,40.8954274,-74.1678619
427,40.8929626,-74.1673251
428,40.8905144,-74.1670357
429,40.8880819,-74.1669819
430,40.8856646,-74.1671522
431,40.8832617,-74.1675347
432,40.8808725,-74.1681179
433,40.8784963,-74.16889
434,40.8761324,-74.1698394
435,40.8737801,-74.1709544
436,40.8714386,-74.1722233
437,40.8691074,-74.1736344
438,40.8667856,-74.1751761
439,40.8644726,-74.1768366
440,40.8621677,-74.1786043
441,40.8598701,-74.1804675
442,40.8575792,-74.1824145
443,40.8552942,-74.1844336
444,40.8530145,-74.1865132
445,40.8507394,-74.1886415
446,40.8484681,-74.190807
447,40.8461999,-74.1929978
448,40.8439341,-74.1952024
449,40.8416701,-74.197409
450,40.8394072,-74.1996059
451,40.8371445,-74.2017816
452,40.8348814,-74.2039242
453,40.8326173,-74.2060222
454,40.8303514,-74.2080637
455,40.828083,-74.2100373
456,40.8258114,-74.2119311
457,40.8235358,-74.2137335
458,40.8212557,-74.2154328
459,40.8189702,-74.2170173
460,40.8166788,-74.2184754
461,40.8143806,-74.2197954
462,40.812075,-74.2209655
463,40.8097612,-74.2219741
464,40.8074387,-74.2228095
465,40.8051065,-74.2234601
466,40.8027642,-74.2239141
467,40.8004109,-74.2241599
468,40.7980459,-74.2241858
469,40.7956686,-74.2239801
470,40.7932782,-74.2235311
471,40.7908741,-74.2228272
472,40.7884555,-74.2218566
473,40.7860217,-74.2206078
474,40.783572,-74.2190689
475,40.7811058,-74.2172283
476,40.7786223,-74.2150744
477,40.7761207,-74.2125954
478,40.7736005,-74.2097797
479,40.7710609,-74.2066156
480,40.7685012,-74.2030914
481,40.7659206,-74.1991955
482,40.7633186,-74.1949161
483,40.7606943,-74.1902415
484,40.7580472,-74.1851601
485,40.7553764,-74.1796603
486,40.7526812,-74.1737302
487,40.7499611,-74.1673583
488,40.7472151,-74.1605329
489,40.7444428,-74.1532422
490,40.7416433,-74.1454747
491,40.738816,-74.1372185
492,40.73596,-74.1284621
493,40.7330749,-74.1191937
494,40.7301598,-74.1094017
495,40.727214,-74.0990744
496,40.7242368,-74.0882001
497,40.7212275,-74.0767671
498,40.7181855,-74.0647637
499,40.71511,-74.0521783
500,40.7120003,-74.0389992
