index,latitude,longitude
478,40.7209163,-74.0866714
479,40.7234647,-74.0894
480,40.7248039,-74.0918022
481,40.7247423,-74.0934927
482,40.7230896,-74.094087
483,40.7198777,-74.0933839
484,40.7156498,-74.0916032
485,40.7110202,-74.0890234
486,40.7066036,-74.0859231
487,40.7030146,-74.0825809
488,40.7008676,-74.0792753
489,40.7007763,-74.0762846
490,40.7029457,-74.0737432
491,40.7065558,-74.0714249
492,40.7106285,-74.0690477
493,40.7141852,-74.0663295
494,40.7162479,-74.0629882
495,40.7162545,-74.0588698
496,40.7153385,-74.0543406
497,40.7150497,-74.0498971
498,40.7156543,-74.0458421
499,40.7151326,-74.0421336
500,40.7112295,-74.0386941
